2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.4106 confidence=0.411 regime=high_vol rsi=8.94
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.4158 confidence=0.416 regime=high_vol rsi=8.42
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1993 confidence=0.199 regime=high_vol rsi=30.07
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2166 confidence=0.217 regime=high_vol rsi=28.34
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.3062 confidence=0.306 regime=high_vol rsi=19.38
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2676 confidence=0.268 regime=high_vol rsi=23.24
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2405 confidence=0.241 regime=high_vol rsi=25.95
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2256 confidence=0.226 regime=high_vol rsi=27.44
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2227 confidence=0.223 regime=high_vol rsi=27.73
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1831 confidence=0.183 regime=high_vol rsi=31.69
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1807 confidence=0.181 regime=high_vol rsi=31.93
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.0794 confidence=0.079 regime=high_vol rsi=42.06
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2361 confidence=0.236 regime=high_vol rsi=26.39
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.0938 confidence=0.094 regime=high_vol rsi=40.62
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.1144 confidence=0.114 regime=high_vol rsi=61.44
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.1289 confidence=0.129 regime=high_vol rsi=62.89
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.0776 confidence=0.078 regime=high_vol rsi=57.76
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1098 confidence=0.110 regime=high_vol rsi=39.02
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=flat score=0.0234 confidence=0.023 regime=high_vol rsi=52.34
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.0721 confidence=0.072 regime=high_vol rsi=42.79
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=flat score=-0.0468 confidence=0.047 regime=high_vol rsi=45.32
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.0641 confidence=0.064 regime=high_vol rsi=43.59
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1062 confidence=0.106 regime=high_vol rsi=39.38
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.2581 confidence=0.258 regime=high_vol rsi=24.19
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1758 confidence=0.176 regime=high_vol rsi=32.42
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1564 confidence=0.156 regime=high_vol rsi=34.36
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.1201 confidence=0.120 regime=high_vol rsi=37.99
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.0503 confidence=0.050 regime=high_vol rsi=55.03
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=flat score=-0.0280 confidence=0.028 regime=high_vol rsi=47.20
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=flat score=-0.0246 confidence=0.025 regime=high_vol rsi=47.54
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=short score=-0.0618 confidence=0.062 regime=high_vol rsi=43.82
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=flat score=-0.0376 confidence=0.038 regime=high_vol rsi=46.24
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.0670 confidence=0.067 regime=high_vol rsi=56.70
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.2417 confidence=0.242 regime=high_vol rsi=74.17
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.2402 confidence=0.240 regime=high_vol rsi=74.02
2025-11-16T15:03:26Z | INFO | sagetrade.signals.aggregator | composite_signal event=composite_signal symbol=BTCUSD direction=long score=0.1151 confidence=0.115 regime=high_vol rsi=61.51
